week_end,qqq_adj_close
2021-01-22,315.3990173339844
2021-01-29,304.8734130859375
2021-02-05,321.15618896484375
2021-02-12,326.08935546875
2021-02-19,320.8265380859375
2021-02-26,304.4664611816406
2021-03-05,299.174560546875
2021-03-12,305.7457275390625
2021-03-19,303.4971618652344
2021-03-26,306.6559143066406
2021-04-02,314.97247314453125
2021-04-09,327.1416931152344
2021-04-16,331.8968200683594
2021-04-23,329.3834228515625
2021-04-30,327.9956970214844
2021-05-07,324.3177795410156
2021-05-14,316.7386779785156
2021-05-21,317.3403625488281
2021-05-28,324.0557556152344
2021-06-04,325.67633056640625
2021-06-11,331.14959716796875
2021-06-18,332.4984436035156
2021-06-25,339.5198974609375
2021-07-02,348.4387512207031
2021-07-09,350.74139404296875
2021-07-16,347.4283142089844
2021-07-23,357.7268371582031
2021-07-30,354.2001037597656
2021-08-06,357.58111572265625
2021-08-13,358.3292541503906
2021-08-20,357.270263671875
2021-08-27,365.34381103515625
2021-09-03,370.7165832519531
2021-09-10,365.878173828125
2021-09-17,363.1967468261719
2021-09-24,363.1130065917969
2021-10-01,350.3229064941406
2021-10-08,351.276123046875
2021-10-15,358.8432312011719
2021-10-22,363.862060546875
2021-10-29,375.5434265136719
2021-11-05,387.6915588378906
2021-11-12,383.89825439453125
2021-11-19,392.9339904785156
2021-11-26,380.4940490722656
2021-12-03,372.6449279785156
2021-12-10,387.1176452636719
2021-12-17,374.3761901855469
2021-12-24,386.5505676269531
2021-12-31,387.4562683105469
2022-01-07,369.936279296875
2022-01-14,370.082275390625
2022-01-21,342.502197265625
2022-01-28,342.6092529296875
2022-02-04,348.65704345703125
2022-02-11,337.9931335449219
2022-02-18,332.588134765625
2022-02-25,336.73687744140625
2022-03-04,328.48809814453125
2022-03-11,315.9251403808594
2022-03-18,342.30743408203125
2022-03-25,350.3947448730469
2022-04-01,352.8324279785156
2022-04-08,340.4490051269531
2022-04-15,329.9960632324219
2022-04-22,317.29083251953125
2022-04-29,305.443603515625
2022-05-06,301.5433044433594
2022-05-13,294.4153747558594
2022-05-20,281.4857482910156
2022-05-27,301.3970031738281
2022-06-03,298.5693359375
2022-06-10,281.64190673828125
2022-06-17,267.84454345703125
2022-06-24,287.82025146484375
2022-07-01,275.6279296875
2022-07-08,288.5433044433594
2022-07-15,285.1434326171875
2022-07-22,295.0302429199219
2022-07-29,308.1897888183594
2022-08-05,314.3348693847656
2022-08-12,322.7757263183594
2022-08-19,315.4192199707031
2022-08-26,300.35467529296875
2022-09-02,288.3674011230469
2022-09-09,300.0126647949219
2022-09-16,282.6522521972656
2022-09-23,269.64422607421875
2022-09-30,261.5698547363281
2022-10-07,263.37066650390625
2022-10-14,255.1886749267578
2022-10-21,269.55615234375
2022-10-28,275.2325744628906
2022-11-04,259.04473876953125
2022-11-11,281.8291320800781
2022-11-18,278.7560119628906
2022-11-25,280.8113098144531
2022-12-02,286.3214111328125
2022-12-09,276.03515625
2022-12-16,268.4109802246094
2022-12-23,262.29412841796875
2022-12-30,261.2346496582031
2023-01-06,263.70684814453125
2023-01-13,275.64630126953125
2023-01-20,277.3238220214844
2023-01-27,290.6466064453125
2023-02-03,300.37860107421875
2023-02-10,294.02142333984375
2023-02-17,295.4537048339844
2023-02-24,286.3201904296875
2023-03-03,294.0018310546875
2023-03-10,283.0826110839844
2023-03-17,299.5741882324219
2023-03-24,305.4715576171875
2023-03-31,315.3365478515625
2023-04-07,312.5067443847656
2023-04-14,313.0177307128906
2023-04-21,311.0918884277344
2023-04-28,316.93817138671875
2023-05-05,317.262451171875
2023-05-12,319.3651428222656
2023-05-19,330.6449890136719
2023-05-26,342.3277282714844
2023-06-02,348.46893310546875
2023-06-09,348.3214416503906
2023-06-16,361.5173645019531
2023-06-23,356.7099609375
2023-06-30,363.4793701171875
2023-07-07,360.3504333496094
2023-07-14,372.9742126464844
2023-07-21,369.5894470214844
2023-07-28,377.3132629394531
2023-08-04,366.0572204589844
2023-08-11,360.3504333496094
2023-08-18,352.37091064453125
2023-08-25,358.1661682128906
2023-09-01,371.5179443359375
2023-09-08,366.5885009765625
2023-09-15,364.8469543457031
2023-09-22,352.66424560546875
2023-09-29,353.0189208984375
2023-10-06,359.3546447753906
2023-10-13,359.92620849609375
2023-10-20,349.4027099609375
2023-10-27,340.24884033203125
2023-11-03,362.320556640625
2023-11-10,372.843994140625
2023-11-17,380.3819580078125
2023-11-24,383.80108642578125
2023-12-01,384.22479248046875
2023-12-08,386.4220886230469
2023-12-15,399.39898681640625
2023-12-22,403.1982116699219
2023-12-29,404.5364074707031
2024-01-05,391.92181396484375
2024-01-12,404.575927734375
2024-01-19,416.05450439453125
2024-01-26,418.6524963378906
2024-02-02,423.78924560546875
2024-02-09,431.73138427734375
2024-02-16,425.33026123046875
2024-02-23,431.4646911621094
2024-03-01,440.18719482421875
2024-03-08,433.677490234375
2024-03-15,428.63946533203125
2024-03-22,441.53094482421875
2024-03-29,439.1866455078125
2024-04-05,435.68511962890625
2024-04-12,433.509033203125
2024-04-19,410.1456298828125
2024-04-26,426.3179931640625
2024-05-03,430.74932861328125
2024-05-10,437.2578430175781
2024-05-17,446.85247802734375
2024-05-24,452.9752502441406
2024-05-31,445.8138732910156
2024-06-07,457.9308166503906
2024-06-14,473.9844970703125
2024-06-21,474.9637756347656
2024-06-28,474.6585998535156
2024-07-05,491.5501708984375
2024-07-12,490.2226867675781
2024-07-19,470.8245849609375
2024-07-26,458.6685485839844
2024-08-02,444.5807189941406
2024-08-09,446.2252502441406
2024-08-16,470.61651611328125
2024-08-23,475.5403137207031
2024-08-30,471.8450012207031
2024-09-06,444.5212097167969
2024-09-13,470.92364501953125
2024-09-20,477.9576721191406
2024-09-27,482.9053039550781
2024-10-04,483.47076416015625
2024-10-11,489.46307373046875
2024-10-18,490.5643005371094
2024-10-25,491.4076232910156
2024-11-01,483.57989501953125
2024-11-08,510.0789794921875
2024-11-15,492.6477355957031
2024-11-22,501.79486083984375
2024-11-29,505.71368408203125
2024-12-06,522.3214111328125
2024-12-13,526.3395385742188
2024-12-20,514.5632934570312
2024-12-27,519.2683715820312
2025-01-03,515.3134155273438
2025-01-10,503.9952697753906
2025-01-17,518.4535522460938
2025-01-24,526.2939453125
2025-01-31,519.0000610351562
2025-02-07,519.6261596679688
2025-02-14,534.76025390625
2025-02-21,522.7662963867188
2025-02-28,504.96905517578125
2025-03-07,488.6922302246094
2025-03-14,465.389892578125
