week_end,H_t,I_t,k_hat_t,state_label,p_0,p_1,p_2,p_3,p_4,centroid_0_H,centroid_0_I,centroid_1_H,centroid_1_I,centroid_2_H,centroid_2_I,centroid_3_H,centroid_3_I,centroid_4_H,centroid_4_I
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-04-24,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-04-24,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,,,,,,,,,,,,,,,,,,,
2026-05-01,0.31269664963412697,1.2119948119645043,4,S4,0.0013726980119294382,0.2954186536775553,0.18969029890361555,0.0951917134707327,0.4183266359361669,-1.2789473057539884,-0.7144155010612743,-0.5333673167908173,0.5184716947451489,0.4172586321499942,0.23445893885015723,0.010889970227456802,-0.06574462327595315,0.445604569221863,0.5235352426294997
2026-05-01,0.31269664963412697,1.2119948119645043,4,S4,0.0014356742821385465,0.28564299881516525,0.18803433340256576,0.09636193941686409,0.4285250540832664,-1.2766082838557666,-0.706068109465068,-0.5310282948925955,0.5268190863413552,0.4195976540482157,0.2428063304463635,0.013228992125678463,-0.05739723167974686,0.4405980403095953,0.5494689322809106
2026-05-01,0.31269664963412697,1.2119948119645043,4,S4,0.0014986373157256196,0.2769950336545357,0.1867408797243519,0.09763078762050291,0.4371346616848839,-1.2742899555978362,-0.6977945683613223,-0.5287099666346649,0.5350926274451016,0.4219159823061466,0.2510798715501097,0.015547320383609238,-0.04912369057600069,0.43591507560948556,0.5737265677224189
