instrument_id,canonical_symbol,asset_class,normalization_status
CUSIP:67066G104,NVDA,equity,resolved_by_primary_id
CUSIP:037833100,AAPL,equity,resolved_by_primary_id
CUSIP:594918104,MSFT,equity,resolved_by_primary_id
CUSIP:023135106,AMZN,equity,resolved_by_primary_id
CUSIP:02079K305,GOOGL,equity,resolved_by_primary_id
CUSIP:30303M102,META,equity,resolved_by_primary_id
CUSIP:11135F101,AVGO,equity,resolved_by_primary_id
CUSIP:02079K107,GOOG,equity,resolved_by_primary_id
CUSIP:88160R101,TSLA,equity,resolved_by_primary_id
CUSIP:931142103,WMT,equity,resolved_by_primary_id
CUSIP:595112103,MU,equity,resolved_by_primary_id
CUSIP:007903107,AMD,equity,resolved_by_primary_id
CUSIP:22160K105,COST,equity,resolved_by_primary_id
CUSIP:458140100,INTC,equity,resolved_by_primary_id
CUSIP:64110L106,NFLX,equity,resolved_by_primary_id
CUSIP:17275R102,CSCO,equity,resolved_by_primary_id
CUSIP:69608A108,PLTR,equity,resolved_by_primary_id
CUSIP:512807306,LRCX,equity,resolved_by_primary_id
CUSIP:038222105,AMAT,equity,resolved_by_primary_id
CUSIP:482480100,KLAC,equity,resolved_by_primary_id
CUSIP:882508104,TXN,equity,resolved_by_primary_id
CUSIP:G54950103,LIN,equity,resolved_by_primary_id
CUSIP:713448108,PEP,equity,resolved_by_primary_id
CUSIP:872590104,TMUS,equity,resolved_by_primary_id
CUSIP:032654105,ADI,equity,resolved_by_primary_id
CUSIP:031162100,AMGN,equity,resolved_by_primary_id
CUSIP:46120E602,ISRG,equity,resolved_by_primary_id
CUSIP:747525103,QCOM,equity,resolved_by_primary_id
CUSIP:375558103,GILD,equity,resolved_by_primary_id
CUSIP:80004C200,SNDK,equity,resolved_by_primary_id
CUSIP:82509L107,SHOP,equity,resolved_by_primary_id
CUSIP:697435105,PANW,equity,resolved_by_primary_id
CUSIP:03831W108,APP,equity,resolved_by_primary_id
CUSIP:09857L108,BKNG,equity,resolved_by_primary_id
CUSIP:573874104,MRVL,equity,resolved_by_primary_id
CUSIP:958102105,WDC,equity,resolved_by_primary_id
CUSIP:438516106,HON,equity,resolved_by_primary_id
CUSIP:G7997R103,STX,equity,resolved_by_primary_id
CUSIP:N07059210,ASML,equity,resolved_by_primary_id
CUSIP:22788C105,CRWD,equity,resolved_by_primary_id
CUSIP:21037T109,CEG,equity,resolved_by_primary_id
CUSIP:855244109,SBUX,equity,resolved_by_primary_id
CUSIP:92532F100,VRTX,equity,resolved_by_primary_id
CUSIP:461202103,INTU,equity,resolved_by_primary_id
CUSIP:20030N101,CMCSA,equity,resolved_by_primary_id
CUSIP:00724F101,ADBE,equity,resolved_by_primary_id
CUSIP:571903202,MAR,equity,resolved_by_primary_id
CUSIP:871607107,SNPS,equity,resolved_by_primary_id
CUSIP:58733R102,MELI,equity,resolved_by_primary_id
CUSIP:127387108,CDNS,equity,resolved_by_primary_id
CUSIP:126408103,CSX,equity,resolved_by_primary_id
CUSIP:053015103,ADP,equity,resolved_by_primary_id
CUSIP:609839105,MPWR,equity,resolved_by_primary_id
CUSIP:75886F107,REGN,equity,resolved_by_primary_id
CUSIP:67103H107,ORLY,equity,resolved_by_primary_id
CUSIP:61174X109,MNST,equity,resolved_by_primary_id
CUSIP:609207105,MDLZ,equity,resolved_by_primary_id
CUSIP:778296103,ROST,equity,resolved_by_primary_id
CUSIP:025537101,AEP,equity,resolved_by_primary_id
CUSIP:25809K105,DASH,equity,resolved_by_primary_id
CUSIP:172908105,CTAS,equity,resolved_by_primary_id
CUSIP:05722G100,BKR,equity,resolved_by_primary_id
CUSIP:693718108,PCAR,equity,resolved_by_primary_id
CUSIP:934423104,WBD,equity,resolved_by_primary_id
CUSIP:722304102,PDD,equity,resolved_by_primary_id
CUSIP:34959E109,FTNT,equity,resolved_by_primary_id
CUSIP:N6596X109,NXPI,equity,resolved_by_primary_id
CUSIP:009066101,ABNB,equity,resolved_by_primary_id
CUSIP:25278X109,FANG,equity,resolved_by_primary_id
CUSIP:594972408,MSTR,equity,resolved_by_primary_id
CUSIP:311900104,FAST,equity,resolved_by_primary_id
CUSIP:285512109,EA,equity,resolved_by_primary_id
CUSIP:052769106,ADSK,equity,resolved_by_primary_id
CUSIP:98389B100,XEL,equity,resolved_by_primary_id
CUSIP:N3168P101,FER,equity,resolved_by_primary_id
CUSIP:30161N101,EXC,equity,resolved_by_primary_id
CUSIP:595017104,MCHP,equity,resolved_by_primary_id
CUSIP:679580100,ODFL,equity,resolved_by_primary_id
CUSIP:70450Y103,PYPL,equity,resolved_by_primary_id
CUSIP:45168D104,IDXX,equity,resolved_by_primary_id
CUSIP:G25839104,CCEP,equity,resolved_by_primary_id
CUSIP:23804L103,DDOG,equity,resolved_by_primary_id
CUSIP:02043Q107,ALNY,equity,resolved_by_primary_id
CUSIP:884903808,TRI,equity,resolved_by_primary_id
CUSIP:874054109,TTWO,equity,resolved_by_primary_id
CUSIP:49271V100,KDP,equity,resolved_by_primary_id
CUSIP:776696106,ROP,equity,resolved_by_primary_id
CUSIP:05464C101,AXON,equity,resolved_by_primary_id
CUSIP:704326107,PAYX,equity,resolved_by_primary_id
CUSIP:36266G107,GEHC,equity,resolved_by_primary_id
CUSIP:217204106,CPRT,equity,resolved_by_primary_id
CUSIP:042068205,ARM,equity,resolved_by_primary_id
CUSIP:457669307,INSM,equity,resolved_by_primary_id
CUSIP:192446102,CTSH,equity,resolved_by_primary_id
CUSIP:500754106,KHC,equity,resolved_by_primary_id
CUSIP:98138H101,WDAY,equity,resolved_by_primary_id
CUSIP:92345Y106,VRSK,equity,resolved_by_primary_id
CUSIP:252131107,DXCM,equity,resolved_by_primary_id
CUSIP:16119P108,CHTR,equity,resolved_by_primary_id
CUSIP:98980G102,ZS,equity,resolved_by_primary_id
CUSIP:CASHUSD00,USD,equity,resolved_by_primary_id
CUSIP:NQM6,NQM6,equity,resolved_by_primary_id
CUSIP:22160N109,CSGP,equity,resolved_by_primary_id
CUSIP:FUTPLGCSH,NONE,equity,resolved_by_primary_id
CUSIP:None,NQM6_,equity,resolved_by_exact_symbol_map
